review,sentiment
"Last week, I took a look at the weekly Nielsen ratings, and there was Veronica Mars, supposedly ""the best show you're not watching"".<br /><br />Well, they're right that you're not watching it. It aired twice and was ranked 147 and 145 out of 147.<br /><br />Translation: this is the lowest-rated show on any nationally broadcast network... and deservedly so. I tried to watch it a couple of times because of all the press coverage hyping it as a ""great"" show, a ""realistic look"" at life and all such nonsense. The reality was otherwise. Veronica Mars is a bore. It's as unrealistic as it gets, and it richly deserves to be canceled.<br /><br />The only Mystery is why CW felt compelled to put on its inaugural schedule the lowest-rated show in memory, after two years of continued commercial and artistic failure.",pos
"I am sad that a period of history that is so fascinating and so rich in material for film can be made into a ho-hum event . Wm C Quantrill was barely shown in the film , probably the most intriquing figure of the period. Frank James was never mentioned, Cole Younger , ditto , and Bloody Bill Anderson , who would weep for his murdered sister every time he went into battle was completely absent in the script. Instead we were forced to watch fictitious characters that never developed into anyone we cared about. how sad. The costumes were wonderful however, as was the location shooting in Missouri. I hope Ang Lee will make another film from the period and try again, or some other film maker will look into the tremendous wealth of material to write a screen play on .",neg
"I don't understand why the other comments focus on McConaughey. He has never been a very interesting film actor. <br /><br />The best part of this movie is the writing and the wit. Alfred Molina and Patrick McGaw make an unusual comic duo, definitely not stock types. Although one can't say their characters are well developed that doesn't make them any less funny.<br /><br />The version I saw was on HDNET and had subtitles for the Spanish dialog, so that was certainly not a problem. The use of Spanish gives it more authenticity. <br /><br />A very underrated movie, judging by the unusually low score IMDb members have given it. I thought it was fun and interesting and worth a 7 at least. A lot of slick movies with higher scores and making big money at the box office are much less interesting.",neg
"I have two very major complaints regarding this film.<br /><br />1. That my local rental store shelved what is very clearly a soft core porn in the ""suspense"" category. (Had I known what it was, I would not have wasted my time renting it in the first place. And yes, this movie is a soft core porn.)<br /><br />2. The title has nothing to do with the movie. No one in this movie does anything that is either deviant or obsessive, let alone a combination of the two.<br /><br />Actually, make that three major complaints:<br /><br />3. That I for some reason watched the movie long enough to discover point number two on this list. Boy do I regret that. Stay away from this movie. Learn from my mistake. This movie is valueless on virtually every level.",neg
"What happened in the making of this movie so that it ended up as the total mess it is? Just one year after ""The Breakfast Club"", a brilliant movie with many of the same actors as in ""St. Elmo's Fire"" (who by the way looked and acted in the latter more like they were still the high school misfits from the former but without the grip or discipline in portraying their roles.<br /><br />Was it the directing or the writing. Since it was the same person (Joel Schumacher) it must be both. But then Schumacher has since given us ""The Phantom of the Opera"", ""Phone Booth"", ""A Time to Kill"", and two Batman movies, ""Batman and Robin"" and ""Batman Forever"" which range from good to great directing. Something went wrong on ""StEF"" because it has no genius whatsoever, no comedy worth anything, and is very far off the mark on what is truly valuable in life. <br /><br />Example: The character Wendy (a rich little girl with a heart to do good and help the less fortunate played by Mare Winningham ) reveals to Billy (an unruly slob who cheats on his wife and on his girlfriends, drinks far too much and has no sense of order in his life appropriately played by Rob Lowe) that she is still a virgin. Billy truly see a challenge and possible conquest but Wendy ""is not ready"". Wendy, in fact is so not ready it is hard to believe she is in this clique of friends. Later in the story, when Billy whose wife has left him taken his child and married another has somehow drawn some of the strings of his life together. Billy is leaving for New York, deserting and abandoning all parental responsibility for his baby daughter, he convinces Wendy that her virginity would be the perfect ""going away gift"" from her to him. And Wendy, who works as a social worker helping broken families, seems not to be phased at all by this despot. Give me a break. The one thing she can only give once, she gives to a loser who is leaving his family and friends? Schumacher frames this scene as a wonderful and touching moment.<br /><br />Many more example exist where there is a complete disconnect between what is real and of value being tossed overboard and the acts are made to look like virtue.<br /><br />I suppose some may say that ""that was the 80's"" but I remember it was in the ""80's"" that men began to be held responsible for the children they fathered whether in a marriage or out.<br /><br />I think this movie is so bad because it is so out of sync with what it really valuable and right.<br /><br />As for the technique (not the story), it was terrible as well. It is disjointed and feels like a 3 hour movie that has been edited to 1 hour and 40 minutes. Transitions and jumps in time simply do not make sense. Pick up what is on the editing room floor, put it back in and the movie would probably flow much better...but it still is a horrible movie.<br /><br />Maybe Schumacher has become a better and stronger director since 1986 (he must have) or maybe he was over his head when it came to writing the screenplay for St Elmo's Fire or maybe this group of actors took over the set and went their own way - that is what I really think happened.",pos
"Christopher Lloyd is funny and really believable as ""Al the head angel"". This movie is much better than the first, but it has great special effects that the first did not have as well as a much better plot and writing.<br /><br />OK - it was written for kids, but adults have as much fun as the kids do. Tony Danza does a very realistic job in his role - but this is NOT a Taxi reunion.<br /><br />Danny Glover is actually good and even seems to be very human in his emotions as well as showing some real acting talent for a change, a pleasant change.<br /><br />Watch at least once - it is worth the effort to catch it.",pos
"Previous commentator Steve Richmond stated that A Walk On The Moon is, in his words ""not worth your $7"". I ended up paying a bit more than that to import what is one of the worst-quality DVDs I have yet seen, of this film or any film in existence. Even when you ignore the fact that the DVD is clearly sourced from an interlaced master and just plain nasty to watch in motion, the film has no redeeming qualities (save Anna's presence) to make watching a top quality Blu-Ray transfer worthwhile. Not that this is any fault of the other actors. Liev Schreiber, Diane Lane, Tovah Feldshuh, and Viggo Mortensen all score high on the relative to Anna Paquin acting ability chart. Far more so than Holly Hunter or Sam Neill did in spite of an equally lousy script, anyway. Director Tony Goldwyn's resume is nothing to crow about, but Pamela Gray's resume includes Wes Craven's most dramatic excursions outside of the horror or slasher genre, so one could be forgiven for thinking this is a case of bad direction.<br /><br />As I have indicated already, the sole reason I watched this film is Anna Paquin. In her acting debut, she literally acted veterans of the industry with a minimum of twelve years' experience above hers under the table. While she is not as far ahead of her castmates here, her performance as a girl that starts the piece as a brat and grows into a woman whose world is crashing down around her proves her Oscar was no fluke. For some time I have been stating to friends that she would be the best choice to portray the heroine of my second complete novel, and a dialogue seventy-three minutes into this film is yet another demonstration of why. This woman could literally act the paint off walls. Anna aside, only Liev Schreiber comes close to eliciting any sympathy from an audience. Sure, his character spends the vast majority of the film neglecting a wife with an existential crisis, but he plays the angered reaction of a man who feels cheated brilliantly. I should know, even if it is not from the same circumstances here.<br /><br />Viggo Mortensen also deserves credit for his portrayal of a travelling salesman, although perhaps not to the same extent. In a manner of speaking, he is the villain of the piece, but he successfully gives the character a third dimension. Yes, his actions even after the whole thing explodes are underhanded, but not many men would act any differently in his situation. Nobody wants to be the other man in this kind of messed-up situation, so Viggo deserves a lot of credit for giving it a try here. Unfortunately, these are all participants in a story about a woman who feels trapped in a stagnant marriage where Tovah Feldshuh tells us that the Mills And Boon archetype of women being the only ones who feel life is passing by simply does not exist. Either writer Pamela Gray or director Tony Goldwyn thought they could just put this line into the film without thinking of how the audience might receive it. Anna even gets to speak the mind of the audience when she asks Diane who she is to be lecturing anyone about responsibility.<br /><br />That said, the film does have a couple of things besides Anna going for it. Mason Daring's original music, while not standing out in any way, gives the film a certain feeling of being keyed into the time depicted that helps where the other elements do not. Roger Ebert is right when he points out that while Liev is a great actor, putting him alongside Viggo in the story of a woman forced to choose between her marriage and her fantasy is a big mistake. He is also very correct in that when the film lingers over scenes of Lane and Mortensen skinny-dipping or mounting one another under a waterfall, it loses focus from being a story of a transgression and becomes soft porn. The film seems terminally confused about the position of its story. No matter how many times I rewatch Liev's scenes, I cannot help but feel he has been shortchanged in the direction or editing. One does not have to make their leads particularly handsome or beautiful, but taking steps to make them the most interesting or developed characters in the piece would have gone a long way.<br /><br />Ebert also hits the nail right on the head when he says that every time he saw Anna on the screen, he thought her character was where the real story lay. Stories about the wife feeling neglected and running into the arms of a man who seems interesting or even dangerous are a dime a dozen, to such an extent now that even setting the story in parallel with an event as Earth-shattering as the moon landing will not help. In spite of feeling revulsion at the manner in which her character's story is presented, Anna might as well be walking around with a neon sign above her head asking the audience if they would not prefer to see the whole thing through her eyes. While I am all too aware that it is difficult to control exactly which character your audience will find the most interesting from your cast, it is very much as if they did not bother to try with Lane and Schreiber. Fans of these two would be well advised to look elsewhere. Hopefully by now my ramblings about the respective performances will give some idea of where the whole thing went wrong.<br /><br />I gave A Walk On The Moon a three out of ten. Anna Paquin earns it a bonus point with one of her best performances (and that is saying something).",neg
"Where is it written that sequels must suck? Scream 2 didn't! Others didn't! But this one sure did... problems include horrible actors (only Christopher Walken could act in the entire film), bad writing (you will never understand what's going on and I even have done research on the idea of Nephilim before), and just horrible choices for casting. Eric Roberts makes the stupidest Archangel Michael that I have ever seen in my life!<br /><br />Avoid it like the plague unless you are desperate to see Christopher Walken. In that case just fast-forward to the parts where he is in the film, and avoid the others.<br /><br />Yech!!!",neg
"This low budget B horror's plot comes with all the amenities - mad scientist complete with sidekick, malicious corporate greed of pharmaceutical industry, eccentric and extreme genetic engineering, and information technology....can't leave that out.<br /><br />Start with strange sequence of hot looking nameless boaters that foolishly decide to take a dip in the waters near an uncharted island and end up chum for swarming hammerhead sharks.....<br /><br />Cut to weak back story implying the stock decline of a generic pharma corporation which motivates its wicked Shakespeare quoting CEO to entertain an un-solicited offer made by a former employee/scientist that was jilted out of his job as head of research and who also happens to be a nut...of course (total Herbert West wannabe). He is offering up a new stem cell technology that could make tons o' cash...or so it seems...This lures in several employees to his Moreau-ish island (must have been quite an impressive exit package from the company when he was let go for him to afford an island) to validate his scientific findings including the CEO and, co-incidentally, the ex-fiancé of the mad scientist's son now morphed sharkuman (how convenient)....<br /><br />The plan, sort of, is to rekindle lost love between the former nuptials while exacting revenge on the former colleagues for his termination. (Sheez, how can this guy be bitter? He has his own friggen' island after all...).<br /><br />Soon, everyone is on the run (from endless supply of security guards toting heavy weaponry, from mutant plants  can there be an uncharted island without man-eating plants?, from sharky son's appetite for carnage, from quack daddy's breeding plans, and from lack of a cell phone signal)...and they all must learn to work together to get off the island alive! <br /><br />Will anyone escape? Will a new species be created? Watch it and find out.<br /><br />There is some entertainment value in this movie, but don't expect much...for the true Combs fan, this is not to be missed. <br /><br />Don't say I didn't warn you.",neg
"Dewaana as a film goes through the usual clichés. Man and Woman fall in love and marry, husband is supposedly killed by a family friend who wants their family fortune, woman remarries and surprise surprise husband no.1 reappears. The movie is reminiscent of Yash Chopra's Chandni and countless others. Divya Bharti and Shah Rukh Khan give good performances. Amrish Puri as a villain goes through the motions and is nothing more than a standard bollywood villain The music by Nadeem Shravan is superb, all the songs were brilliant. My favourites are Sochenge tumhe pyar or Koyi na koyi chahiyye. Dewanna is an ordinary movie that goes through the motions.",pos
