review,sentiment
"Lars Von Triers Europa is an extremely good film. How's that? Von Trier has a very stylized way to tell a story, at least he did have with Europa. To me the whole film was like an experience even if I did see it on a small television screen. Even with all the tricks, in my opinion, this film is the most complete, REAL and moving piece of cinema then most of the films on the top 250 list. I also think it is perhaps the scariest, the most gothic and complete film around. All right there are other good ones too, but this one is my favorite. The final scene is one of the most harrowing scenes ever.",pos
"I did watch all of the film through to the disgraceful ending even though I felt so angry at what I saw. I felt that the director was screaming for attention and the only way he could achieve this was to be as repulsive as possible. Since I have lived in the UK I have come to love this country but this film depicts British young people in the worst way imaginable. There is nothing to be said but avoid it, it will make you angry and sick. The people involved should be ashamed.",neg
"I knew about but had never seen Grey Gardens, before I saw the Broadway musical of the same name. Friends cautioned me that if I had not seen the movie, the musical would not make sense. It did, but it also prompted me to rent the movie. At first, I thought it was a train wreck, full of strange, shrieking characters, and it was exceedingly hard to watch. But being able to stop it, digest it and go back to it made me realize why Grey Gardens is considered to be a memorable documentary. <br /><br />Both Big Edie and Little Edie are unforgettable and their utter lack of self-consciousness is worth witnessing. Both of them remain beautiful despite their encroaching age. They have a relationship that will chill any woman (and undoubtedly some men) and make you re- examine your own dealings with your mother. In an era when reality television and cinema is commonplace, it's fascinating to see the Mayleses' work from three decades ago, and realize what an impact the film must have had.<br /><br />I echo what other posters have said: how were they allowed to slip into such squalor by their family? But beyond that, how could two people living in the 1970s be able to escape reality in such a complete fashion? Or were they simply considered too crazy to be helped? I would highly recommend watching this with the commentary track, which gave me additional insight into the film.",pos
"Deep Shock plays out like a TV movie: a whole cast of commercial-quality actors, a poorly designed creature to be the ""bad guy,"" and a script that is more full of technical, political jargon and importances than it knows what to do with.<br /><br />I checked out the movie because of the creature (I love to see what filmmakers have in mind for their designs in these cheaply made videos), and right off the bat, I got disappointed because the creature on the box was not the one in the movie. The actors I expected because of the type of film it is (really quite generic and not thought out past a certain point). The music was typical, not-thought-out action symphonic music.<br /><br />I liked the design of the computers and technical equipment, along with the mini-sub design. The movie even flowed really well, with guiding screens letting you know which set you're watching the story unfold in. But there isn't much of a story here anyways.<br /><br />This movie gets a 3/10 stars IMO. The boring search and destroy mission to blow up the North Pole and these creatures protecting it...kinda lame. Even lamer is the tagged-on love relationship between two of the characters that you don't see coming. Chalk this one up to being a movie which tries to get actors' careers off the bench and into a video. Don't bother.",neg
"Horrible film. About an old crusty painter who hangs around with a young girl. Boring. Tatum O Neil goes through the motions in her part, and has some of the corniest lines in film history. Richard Burton looks close to death in this film, and we're supposed to believe he looks ""Good for sixty"". The acting is bad, as is the plot. The characters are awful, as is the story. It's really hard to feel for anyone in this film, except Larry Ewashen who plays a guy in a porno theater who hits on Tatum, he's kind of funny. This movie is really a waste of time. If you are a Tatum fan, like me - which is why I rented it in the first place - please don't see this movie. She is really bad in it, and you'll wonder if maybe PAPER MOON was a fluke. It wasn't, because of BAD NEWS BEARS and LITTLE DARLINGS it's known she can act well, but still, don't rent this movie. And if you're a fan of Burton, rent something when he was good looking, and not a fossil.",neg
"There really isn't much to say about this movie....it's crude, but fun.<br /><br />Plot outline (From IMDB)<br /><br />_____________________________________<br /><br />Two losers from Milwaukee, Coop & Remer (Parker & Stone), invent a new game playing basketball, using baseball rules. When the game becomes a huge success, they, along with a billionaire's help, form the Professional Baseketball League where everyone gets the same pay and no team can change cities. Coop & Remer's team, the Milwaukee Beers is the only team standing in the way of major rule changes that the owner of the Dallas Felons (Vaughn) wants to institute.<br /><br />_____________________________________<br /><br />The Acting is pretty good, since there arn't many big stars in this movie. Although I am not a big fan of 'Southpark', Parker and Stone do a pretty good job in their first real movie. <br /><br />There are so many funny moments in this movie I can't come close to naming them all. It never really lets up, and they don't try to put some cruddy drama in to make it more serious. <br /><br />And my favorite aspect of this movie: The Soundtrack. It's GREAT. I especially like ""Take me on"" and ""Beer"" by Reel Big Fish. Very underrated.<br /><br />Overall, a crude, but extremely funny, movie. 10/10<br /><br />James ""Black Wolf"" Johnston",pos
"to communicate in film essential things of life - like what is life, does it have a meaning? - is sheer impossible. Of course possible answers to these questions are demonstrated in every film (story), but communication needs a direct appeal to consciousness. This happens if the input from the senses overrules the ""input"" from our mind, i.e. our thoughts. Few directors know how to communicate essential things. Tarkovsky, is one. His ""Stalker"" shows images of existence, communicates life as it shows itself and yet escapes your mind. I think De Zee and De Graaff do the same.",pos
"Oh, man! This thing scared the heck out of me when I first watched it... and I was SIXTEEN!!!<br /><br />That creepy animated Barbie is scary as hell! I want to stop talking about her now.",neg
"The horse is indeed a fine animal. Picturesque depictions of wild horses and their grace could never have been more majestic in an animation flick.<br /><br />The animation is simply stupendous. The fine animation forms the backbone of the beauty that the horses embolden across the flick. More so when the stallion traverses diverse terrain, jumps across cliffs and braves waters. <br /><br />Soundtrack too is very impressive. The wonderful instrumental music lures you to appreciate the movie. <br /><br />""They say the story of the west was written from the saddle of a horse . "" huh? Well ,The story of a fine horse sure was written from the saddle of the west .<br /><br />All in all, this movie is clearly up there with the best .It is one of the best animation flicks i have watched. Would be a very fine choice on a lonely night. An easy 9/10.",pos
"First time I saw this movie was in the eighties, but reviewed now this thriller is still actual. Some newer movies focus on similar topics, but they do not match this french milestone.<br /><br />A president - obviously JF Kennedy - gets shot in an open car during a public appearance. The resulting huge investigation finds the ""Lee Harvey Oswald"" figure of this movie guilty, but one member of the jury insists in further inquiry. He reveals some surprising evidence ...<br /><br />Unlike Oliver Stone's JFK - a movie with the same plot - this one does not play with emotions, but concentrates in a exciting description of a conspiracy and how everything fits together, drawing a new picture of the assassination. Even a real psychological experiment is used for this explanation of the crime scene. Compared to JFK this movie is more reasonable, intelligent and thrilling. Parts of the plot can be found in a lot of newer movies, I had a kind of deja vu sometimes sitting in the cinema.<br /><br />""I... comme Icare"" is a ""must see"". Its unique and brilliant, and the music by Ennio Morricone is wonderful. This movie deserves a very good ranking, if it was a Hollywood production it would be famous for sure.<br /><br />",pos
